No.,Alloy,Tg,Tx,Tl,GFA,Ref.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y
670,Zr31Ti27Be26Cu10V6,610.0,666.0,1027.0,15.0,68,0.593962999,56,0.64849075,1.68576628,3.11737939,0.40684178,0.70301850,1.59712230,0.42213184,0.17065019,0.42646190,1.00532386,0.67804708,0.45902130,0.13429257,0.26212199,0.75754625,15.0
671,Zr28Ti24Be23Cu9Ni10Fe6,643.0,694.0,1107.0,4.0,68,0.580849142,51,0.62691960,1.66016485,2.61619638,0.39657143,0.67299006,1.49568966,0.40427019,0.19165583,0.41365908,0.96534144,0.65433617,0.47970594,0.10991379,0.19225651,0.71906052,4.0
672,Zr28Ti24Be23Cu9Ni10Al6,642.0,685.0,1087.0,9.0,68,0.590616375,43,0.63017479,1.65759457,2.72128165,0.39618276,0.66973321,1.53932584,0.40124900,0.19460048,0.41083521,0.96498458,0.65339010,0.48290599,0.09662921,0.17082498,0.70929163,9.0
673,Zr28Ti24Be23Cu9Ni10Ag6,633.0,682.0,1074.0,14.0,68,0.589385475,49,0.63500931,1.66679464,2.80941535,0.39953134,0.68063315,1.54648526,0.40878668,0.18650047,0.41628702,0.97793645,0.66123298,0.47477905,0.11111111,0.20184949,0.72625698,14.0
674,Zr28Ti24Be23Cu9Ni10Cr6,637.0,686.0,1071.0,6.0,68,0.594771242,49,0.64052288,1.67169432,2.94809917,0.40163934,0.68627451,1.58064516,0.41215072,0.18266979,0.41832669,0.98684279,0.66619981,0.47105509,0.11290323,0.21057851,0.73202614,6.0
675,Zr28Ti24Be23Cu9Ni10V6,635.0,677.0,1064.0,7.0,68,0.596804511,42,0.63627820,1.66294624,2.87038706,0.39846969,0.67575188,1.57808858,0.40472507,0.19046307,0.41298105,0.97454838,0.65884292,0.47888120,0.09790210,0.17807423,0.71522556,7.0
676,La62Al14Ni24,431.0,451.0,980.0,2.0,69,0.439795918,20,0.46020408,1.48619963,0.69461230,0.31963147,0.48061224,0.82149362,0.28350990,0.34473986,0.32914046,0.67794777,0.48414182,0.61734955,0.03642987,0.03080321,0.50102041,2.0
677,La62Al14(Ni0.9Co0.1)24,452.0,471.0,983.0,8.0,69,0.459816887,19,0.47914547,1.50185229,0.81211853,0.32822300,0.49847406,0.88700565,0.29225496,0.32969514,0.33700138,0.70450414,0.50015659,0.60595500,0.03578154,0.03276062,0.51780264,8.0
678,La62Al14(Ni0.8Co0.2)24,434.0,456.0,986.0,20.0,69,0.440162272,22,0.46247465,1.49085352,0.70453542,0.32112676,0.48478702,0.82608696,0.28735465,0.34048678,0.33148405,0.68436411,0.48840789,0.61316802,0.03985507,0.03399074,0.50709939,20.0
679,La62Al14(Ni0.7Co0.3)24,406.0,427.0,991.0,7.0,69,0.409687185,21,0.43087790,1.46141132,0.54499899,0.30565497,0.45206862,0.72991453,0.26823196,0.36957415,0.31593794,0.63491377,0.45886751,0.63567568,0.03589744,0.02680323,0.47325933,7.0
680,(Co0.8Fe0.2)71.5Y3.5B25,827.0,870.0,1458.0,1.0,70,0.567215364,43,0.59670782,1.61921053,2.08099056,0.38074398,0.62620027,1.37876387,0.37164705,0.22672351,0.39218213,0.90057373,0.61664065,0.51425520,0.06814580,0.10285356,0.65569273,1.0
681,(Co0.7Fe0.3)71.5Y3.5B25,826.0,876.0,1438.0,2.0,70,0.574408901,50,0.60917942,1.63494159,2.29092843,0.38692580,0.64394993,1.43137255,0.38463228,0.21324040,0.40017286,0.92683161,0.63148653,0.50106937,0.08169935,0.13076076,0.67872045,2.0
682,(Co0.6Fe0.4)71.5Y3.5B25,824.0,884.0,1468.0,1.0,70,0.561307902,60,0.60217984,1.63412344,2.13576656,0.38568935,0.64305177,1.37267081,0.38592170,0.21310401,0.40136054,0.92187824,0.62918121,0.50035139,0.09316770,0.14496153,0.68392371,1.0
683,(Co0.5Fe0.5)71.5Y3.5B25,829.0,893.0,1493.0,1.0,70,0.555257870,64,0.59812458,1.63245932,2.05638056,0.38458226,0.64099129,1.34487952,0.38496847,0.21429185,0.40108969,0.91704720,0.62692640,0.50121003,0.09638554,0.14737778,0.68385800,1.0
684,(Co0.7Fe0.3)72Y3B25,822.0,870.0,1481.0,1.0,70,0.555030385,48,0.58744092,1.61342455,1.91561686,0.37776813,0.61985145,1.32018209,0.36974949,0.23097609,0.39047214,0.89006814,0.61020280,0.51788114,0.07283763,0.10568921,0.65226199,1.0
685,(Co0.7Fe0.3)71Y4B25,827.0,878.0,1447.0,1.5,70,0.571527298,51,0.60677263,1.63319598,2.24272225,0.38610378,0.64201797,1.41612903,0.38372158,0.21456076,0.39956989,0.92360197,0.62961386,0.50227706,0.08225806,0.13027202,0.67726330,1.5
686,(Co0.7Fe0.3)70Y5B25,841.0,888.0,1470.0,1.5,70,0.572108844,47,0.60408163,1.62799469,2.20476848,0.38424924,0.63605442,1.41176471,0.37874144,0.21924862,0.39652248,0.91543114,0.62503677,0.50698835,0.07472178,0.11669383,0.66802721,1.5
687,(Fe71.2B24Y4.8)96Nb4,840.0,903.0,1391.0,3.0,71,0.603882099,63,0.64917326,1.67888210,3.18513169,0.40475123,0.69446441,1.63883848,0.41695186,0.17720701,0.42109852,1.00029485,0.67364954,0.46570787,0.11433757,0.22221849,0.73975557,3.0
688,(Fe71.2B24Y4.8)96Nb3Mo1,846.0,910.0,1399.0,5.0,71,0.604717655,64,0.65046462,1.68036777,3.21954157,0.40534521,0.69621158,1.64556962,0.41804441,0.17599550,0.42182763,1.00272345,0.67504733,0.46450290,0.11573237,0.22642930,0.74195854,5.0
689,(Fe71.2B24Y4.8)96Nb2Mo2,858.0,927.0,1412.0,6.0,71,0.607648725,69,0.65651558,1.68806831,3.38129876,0.40837004,0.70538244,1.67328520,0.42375938,0.16961921,0.42582300,1.01476101,0.68208238,0.45814425,0.12454874,0.25168243,0.75424929,6.0
690,(Fe71.2B24Y4.8)96Nb1Mo3,845.0,911.0,1415.0,5.0,71,0.597173145,66,0.64381625,1.67527965,3.03049808,0.40309735,0.69045936,1.59824561,0.41471958,0.17976453,0.42003439,0.99278636,0.66962100,0.46818818,0.11578947,0.21955310,0.73710247,5.0
691,(Ti41Zr25Be28Fe6)98Cu2,613.0,720.0,1128.0,12.0,72,0.543439716,107,0.63829787,1.71799110,2.65138408,0.41355543,0.73315603,1.39805825,0.42339567,0.14719590,0.44751082,0.99552481,0.69205083,0.43335834,0.20776699,0.39402513,0.82801418,12.0
692,(Ti41Zr25Be28Fe6)95Cu5,617.0,714.0,1110.0,12.0,72,0.555855856,97,0.64324324,1.71306817,2.80926691,0.41343370,0.73063063,1.44827586,0.42663823,0.14961178,0.44462719,1.00413602,0.69171020,0.43656423,0.19675456,0.38165111,0.81801802,12.0
693,(Ti41Zr25Be28Fe6)85Cu15,622.0,682.0,1116.0,15.0,72,0.557347670,60,0.61111111,1.65381069,2.25213957,0.39240506,0.66487455,1.38056680,0.39892366,0.19625821,0.41268076,0.94448019,0.64532421,0.48329448,0.12145749,0.19813545,0.71863799,15.0
694,(Ti41Zr25Be28Fe6)80Cu20,627.0,687.0,1114.0,7.0,72,0.562836625,60,0.61669659,1.65853040,2.36248211,0.39460080,0.67055655,1.41067762,0.40239143,0.19238805,0.41476957,0.95355631,0.65017287,0.47971251,0.12320329,0.20633031,0.72441652,7.0
695,Cu48Zr48Al4,683.0,743.0,1191.0,2.0,73,0.573467674,60,0.62384551,1.66131540,2.52844487,0.39647812,0.67422334,1.46259843,0.40500689,0.19032421,0.41520165,0.96323177,0.65422138,0.47811732,0.11811024,0.20418128,0.72460118,2.0
696,Cu45Zr48Al4Ga3,703.0,763.0,1174.0,5.0,73,0.598807496,60,0.64991482,1.68415600,3.17538376,0.40649973,0.70102215,1.61995754,0.42116109,0.17229538,0.42488384,1.00564210,0.67744446,0.46074189,0.12738854,0.24970252,0.75212947,5.0
697,Cu40Zr48Al4Ag8,684.0,756.0,1129.0,9.0,73,0.605845881,72,0.66961913,1.71110904,3.71672333,0.41698842,0.73339238,1.69887640,0.43908407,0.15021144,0.43925729,1.04386957,0.70108398,0.43872661,0.16179775,0.35397365,0.79716563,9.0
698,Cu46.5Zr48Al4Nb1.5,687.0,744.0,1181.0,5.0,73,0.581710415,57,0.62997460,1.66467985,2.67649723,0.39828694,0.67823878,1.50607287,0.40748547,0.18784106,0.41610390,0.97175690,0.65832332,0.47591755,0.11538462,0.20505422,0.72650296,5.0
699,Cu47.5Zr48Al4Ni0.5,688.0,743.0,1193.0,3.0,73,0.576697402,55,0.62279966,1.65663926,2.52436543,0.39500266,0.66890193,1.47128713,0.40183218,0.19444999,0.41219008,0.95877824,0.65072163,0.48236239,0.10891089,0.18686420,0.71500419,3.0
700,Cu47.5Zr48Al4V0.5,695.0,747.0,1192.0,2.0,73,0.583053691,52,0.62667785,1.65787384,2.62171443,0.39586645,0.67030201,1.50301811,0.40243264,0.19376925,0.41206808,0.96307728,0.65266547,0.48188538,0.10462777,0.18250221,0.71392617,2.0
701,Cu47.7Zr48Al4Co0.3,690.0,744.0,1195.0,3.0,73,0.577405858,54,0.62259414,1.65566673,2.52388140,0.39469496,0.66778243,1.47326733,0.40110500,0.19532386,0.41155235,0.95778301,0.64998650,0.48326100,0.10693069,0.18318494,0.71297071,3.0
702,Cu47.5Zr48Al4Cr0.5,689.0,744.0,1195.0,3.0,73,0.576569038,55,0.62259414,1.65639487,2.52022360,0.39490446,0.66861925,1.47035573,0.40165931,0.19465276,0.41206808,0.95839448,0.65049377,0.48256062,0.10869565,0.18630685,0.71464435,3.0
703,Cu47.5Zr48Al4Fe0.5,692.0,743.0,1194.0,3.0,73,0.579564489,51,0.62227806,1.65326391,2.52779485,0.39395546,0.66499162,1.48007968,0.39916195,0.19753115,0.40991224,0.95532857,0.64820514,0.48554052,0.10159363,0.17350947,0.70770519,3.0
704,Zr20Ti20Hf20Cu20Be20,632.0,715.0,1194.0,5.0,74,0.529313233,83,0.59882747,1.66064235,1.96948235,0.39156627,0.66834171,1.27224199,0.39594820,0.19169264,0.41801991,0.92910808,0.64539715,0.47675206,0.14768683,0.22862522,0.73785595,5.0
705,Zr20Ti20Hf20Ni20Be20,657.0,709.0,1108.0,8.0,74,0.592960289,52,0.63989170,1.67210793,2.92594268,0.40169972,0.68682310,1.57206208,0.41257436,0.18218134,0.41882223,0.98671899,0.66630303,0.47053396,0.11529933,0.21459664,0.73375451,8.0
706,Zr20Ti20Hf20Co20Be20,683.0,722.0,1187.0,3.0,74,0.575400168,39,0.60825611,1.63250119,2.28061510,0.38609626,0.64111205,1.43253968,0.38209386,0.21550210,0.39863803,0.92307098,0.62941679,0.50336787,0.07738095,0.12319112,0.67396799,3.0
707,Ti20Zr20Hf20Be20Cu20,630.0,708.0,1164.0,12.0,75,0.541237113,78,0.60824742,1.66504664,2.14508310,0.39464883,0.67525773,1.32584270,0.40146843,0.18748937,0.41987179,0.94416140,0.65140660,0.47349427,0.14606742,0.23632271,0.74226804,12.0
708,Ti20Zr20Hf20Be20Cu17.5Ni2.5,641.0,693.0,1156.0,12.0,75,0.554498270,52,0.59948097,1.63562151,2.07218861,0.38564274,0.64446367,1.34563107,0.38717560,0.21155268,0.40292050,0.92074572,0.62953434,0.49842679,0.10097087,0.15548890,0.68944637,12.0
709,Ti20Zr20Hf20Be20Cu15Ni5,638.0,694.0,1102.0,15.0,75,0.578947368,56,0.62976407,1.66672166,2.65986640,0.39885057,0.68058076,1.49568966,0.40882798,0.18597502,0.41759465,0.97301581,0.65963901,0.47396423,0.12068966,0.21462899,0.73139746,15.0
710,Ti20Zr20Hf20Be20Cu12.5Ni7.5,644.0,692.0,1090.0,20.0,75,0.590825688,48,0.63486239,1.66535985,2.81336330,0.39907728,0.67889908,1.55156951,0.40757373,0.18784460,0.41526375,0.97644924,0.66018985,0.47615454,0.10762332,0.19514659,0.72293578,20.0
711,Ti20Zr20Hf20Be20Cu10Ni10,643.0,695.0,1066.0,25.0,75,0.603189493,52,0.65196998,1.68406041,3.24674334,0.40667057,0.70075047,1.64302600,0.42098641,0.17269302,0.42419080,1.00740297,0.67800964,0.46118794,0.12293144,0.24292180,0.74953096,25.0
712,Ti20Zr20Hf20Be20Cu7.5Ni12.5,632.0,684.0,1040.0,30.0,75,0.607692308,52,0.65769231,1.68997079,3.41093296,0.40909091,0.70769231,1.67647059,0.42517691,0.16799575,0.42691415,1.01743709,0.68371570,0.45652099,0.12745098,0.25931069,0.75769231,30.0
713,Ti20Zr20Hf20Be20Cu5Ni15,644.0,696.0,1109.0,20.0,75,0.580703336,52,0.62759243,1.66144868,2.62781631,0.39703366,0.67448151,1.49677419,0.40520250,0.19054691,0.41440443,0.96700179,0.65541598,0.47859248,0.11182796,0.19633110,0.72137060,20.0
714,Ti20Zr20Hf20Be20Cu2.5Ni17.5,641.0,692.0,1114.0,15.0,75,0.575403950,51,0.62118492,1.65496713,2.49080209,0.39430199,0.66696589,1.46300211,0.40065879,0.19581625,0.41140642,0.95596683,0.64910337,0.48368216,0.10782241,0.18357067,0.71274686,15.0
715,Ti20Zr20Hf20Be20Ni20,646.0,701.0,1108.0,15.0,75,0.583032491,55,0.63267148,1.66817181,2.73376839,0.39965792,0.68231047,1.51731602,0.40992214,0.18493860,0.41791045,0.97697566,0.66149183,0.47305412,0.11904762,0.21448967,0.73194946,15.0
